Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,mes fautes exacte que j'ai fait pour me rattraper,Un peu,Je demande à mes parents,"Oui, très souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,car peu importe le commentaire cela me fait progresser,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,je ne sais pas vraiment pourquoi,Souvent,"Je relis le cours, Je révise avec des camarades",pas vraiment,,,
4e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade, ""Je laisse tomber, tant pis""",Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,Pas vraiment,Je n'ai pas de préférence,Jamais,"Le commentaire était trop négatif, Je n'ai pas compris et je n'ai pas osé demander, Cela ne m'est jamais arrivé",,Je n'ai pas de préférence,car je me sen pas iper conserné ,Oui,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver, Des exemples pour mieux comprendre, ""Autre, complète ci-dessous.""",mais surtout Des encouragements pour me motiver,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Rien de tout cela suivre le cours me suffit",ba mon prof cris beaucoup et peux être meme méchan donc c'est dur de poser une question sans qu'il te cris desu en mode c'est évident,,,
4e,13-14 ans,,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande à un camarade, Je demande à mes parents",Rarement,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Écrits,Je préfère écrit parce que j'ai rarement eu des commentaire oraux et je me sens un peux mal à l'aise dans parler,Non,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,parce que ils sont positif,Souvent,"Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",Non,,,
4e,11-12 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Jamais ou presque jamais,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Un mélange des deux,"si je ne comprend pas un mot ou une phrase ,j'ai les deux",Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",les commentaire oraux sont une trés bonne idée,,,
4e,13-14 ans,,Parfois,La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,Je ne m’en souviens pas,Parfois c'est un peu flou,Je ne sais pas,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",Je n'ai pas compris et je n'ai pas osé demander,,Écrits,,Non,"""Ce que j'ai bien fait, mes points forts""",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",,,,
4e,11-12 ans,,Parfois,La plupart du temps,Être encouragé(e),,Un peu,Je demande des explications au professeur,"Oui, souvent","Pendant la correction collective devant toute la classe, Pendant des travaux en groupes",La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Je n'ai pas de préférence,,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,Je demande des explications au professeur,Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,Je ne sais pas,En privé (juste moi et le professeur),"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Écrits,Car je suis un peu mal a l'aise quand les commentaires sont négatifs.,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,Par ce que ça ne me fais rien.,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je me fais aider par une I.A., Je révise avec des camarades",Non pas spécialement,,,
4e,13-14 ans,,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande des explications au professeur, Je demande à mes parents",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu","Devant la classe, ça ne me dérange pas",Jamais,Cela ne m'est jamais arrivé,,Écrits,je sais pas,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander",Rien de tout cela suivre le cours me suffit,non,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)","Oui, toujours, c'est très clair",Je ne sais pas,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",Cela ne m'est jamais arrivé,,Écrits,comme ca le commentaire est prive,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je révise avec des camarades, Rien de tout cela suivre le cours me suffit",qu'il soit plus long,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup","Je demande des explications au professeur, Je demande à mes parents",Rarement,Pendant une discussion individuelle (juste avec moi),Parfois c'est un peu flou,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Un mélange des deux,car parfois il y a des choses beaucoup plus comprehensible a l'oral ou a l'ecrit ,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",car quand tu avais l'impression d'avoir bien fait mais q'uenfaite non ba c'est decouragent ,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",non ,,,
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Un peu,Je demande des explications au professeur,Jamais ou presque jamais,Pendant la correction collective devant toute la classe,"Oui, toujours, c'est très clair",Pas vraiment,En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Car je peux garder une traçe écrite du commentaire,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,Ils m'encouragent toujours à mieux faire,Je les trouves plus motivant ,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,
4e,13-14 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"""Je laisse tomber, tant pis""",Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,Pas vraiment,Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Je ne sais pas,Des encouragements pour me motiver,,Ils n'ont pas d'effet sur ma motivation,,"Jamais, j'ose toujours demander","Rien de tout cela suivre le cours me suffit, Je ne prépare pas vraiment",,,,
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,Je demande des explications au professeur,Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Oraux,car c'est plus précis que l'écris.,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,car ils savent que je suis capable de mieux faire,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",je n ai rien d'autres à dire,,,
4e,13-14 ans,,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade",Parfois,"Pendant des travaux en groupes, Je ne m’en souviens pas",La plupart du temps,Pas du tout,Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Écrits,,Oui,"Ce que je dois corriger précisément, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Jamais, j'ose toujours demander","Je relis le cours, Je révise avec des camarades",,,,
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,"Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Oraux,defois a l'ecrit je ne comprends pas les ecriture mes a l'oral je comprend mieux ,Oui,"Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,je sais mes erreur donc je ferais pas la meme le prochaine fois .,Souvent,"Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices",,,,
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire",Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Oraux,car c'est beaucoup plus compréhensible le professeur t'explique avec des mots,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,car je sais ce que je dois améliorer après ,"Jamais, j'ose toujours demander","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",,,,
4e,13-14 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à mes parents",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Oraux,car je ne comprend pas a l'écrit ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,Souvent,"Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,
4e,13-14 ans,,"Oui, souvent",La plupart du temps,Savoir ce que j’ai bien fait,,Un peu,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,Jamais,J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,Car on est la seule personne a savoir ce que le professeur a marqué,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,
